status bar	barra de estado
commit	confirmar
group of repetitions	grupo de repeticiones
exact match	concidencia exacta	Similitud del 100%
internal memory	memoria interna	or working memory
translation memory	memoria de traducción	abreviatura: TM
glossary	glosario
term	término
indeed	en efecto
up to date	actualizado
avoid	evitar
typing errors	errores tipográficos
translate	traducir
according to	en consonancia con
style preferences	preferencias de estilo
customer	cliente
validated glossary	glosario validado
save time	ahorrar tiempo
long syntagmatic expression	términos sintagmáticos muy largos
legal terminology and phraseology	terminología y fraseología legal
important	importante
intersystemic dynamic equivalence	equivalencia dinámica intersistémica
improve	mejorar
quality checks	control de calidad
helpful	útil
help	ayuda
exact match	coincidencia exacta
auto-complete	autocompletar
shortcut	atajo
One stitch in time saves nine	Más vale prevenir que curar
personalise your lock settings	personalizar tus ajustes de bloqueo
toggle off/ on	activa / desactiva
enter	introduce
